year,week,team,motion_snaps,play_action_pct,,,,,
2018,13,clv,16,0.186,,,,,
2018,13,dal,31,0.229,,,,,
2018,13,den,38,0.261,,,,,
2018,13,det,34,0.316,,,,,
2018,13,gb,16,0.157,,,,,
2018,13,ten,41,0.263,,,,,
2018,13,hou,19,0.229,,,,,
2018,13,ind,21,0.182,,,,,
2018,13,jax,20,0.111,,,,,
2018,13,kc,40,0.237,,,,,
2018,13,lar,38,0.4,,,,,
2018,13,lv,19,0.146,,,,,
2018,13,mia,20,0.259,,,,,
2018,13,min,24,0.13,,,,,
2018,13,ne,47,0.281,,,,,
2018,13,no,29,0.2,,,,,
2018,13,nyg,37,0.282,,,,,
2018,13,nyj,38,0.313,,,,,
2018,13,phi,45,0.462,,,,,
2018,13,ari,33,0.321,,,,,
2018,13,pit,22,0.13,,,,,
2018,13,lac,34,0.079,,,,,
2018,13,sf,47,0.176,,,,,
2018,13,sea,22,0.35,,,,,
2018,13,tb,33,0.235,,,,,
2018,13,wsh,15,0.321,,,,,
2018,14,atl,35,0.159,,,,,
2018,14,bal,46,0.429,,,,,
2018,14,buf,24,0.275,,,,,
2018,14,car,37,0.159,,,,,
2018,14,chi,36,0.29,,,,,
2018,14,cin,30,0.267,,,,,
2018,14,clv,17,0.417,,,,,
2018,14,dal,34,0.14,,,,,
2018,14,den,38,0.295,,,,,
2018,14,det,25,0.125,,,,,
2018,14,gb,25,0.111,,,,,
2018,14,ten,35,0.44,,,,,
2018,14,hou,24,0.279,,,,,
2018,14,ind,12,0.209,,,,,
2018,14,jax,16,0.149,,,,,
2018,14,kc,51,0.304,,,,,
2018,14,lar,23,0.208,,,,,
2018,14,lv,19,0.105,,,,,
2018,14,mia,19,0.292,,,,,
2018,14,min,19,0.257,,,,,
2018,14,ne,46,0.333,,,,,
2018,14,no,41,0.25,,,,,
2018,14,nyg,17,0.31,,,,,
2018,14,nyj,34,0.4,,,,,
2018,14,phi,21,0.176,,,,,
2018,14,ari,26,0.205,,,,,
2018,14,pit,27,0.154,,,,,
2018,14,lac,36,0.129,,,,,
2018,14,sf,50,0.194,,,,,
2018,14,sea,24,0.409,,,,,
2018,14,tb,23,0.214,,,,,
2018,14,wsh,19,0.171,,,,,
2018,15,atl,41,0.263,,,,,
2018,15,bal,47,0.44,,,,,
2018,15,buf,22,0.296,,,,,
2018,15,car,24,0.147,,,,,
2018,15,chi,31,0.207,,,,,
2018,15,cin,30,0.382,,,,,
2018,15,clv,27,0.121,,,,,
2018,15,dal,19,0.214,,,,,
2018,15,den,36,0.26,,,,,
2018,15,det,32,0.31,,,,,
2018,15,gb,13,0.106,,,,,
2018,15,ten,37,0.455,,,,,
2018,15,hou,17,0.353,,,,,
2018,15,ind,27,0.148,,,,,
2018,15,jax,23,0.13,,,,,
2018,15,kc,35,0.25,,,,,
2018,15,lar,30,0.179,,,,,
2018,15,lv,21,0.163,,,,,
2018,15,mia,30,0.182,,,,,
2018,15,min,30,0.348,,,,,
2018,15,ne,33,0.242,,,,,
2018,15,no,33,0.216,,,,,
2018,15,nyg,11,0.17,,,,,
2018,15,nyj,25,0.146,,,,,
2018,15,phi,21,0.258,,,,,
2018,15,ari,30,0.14,,,,,
2018,15,pit,29,0.028,,,,,
2018,15,lac,35,0.209,,,,,
2018,15,sf,38,0.375,,,,,
2018,15,sea,29,0.324,,,,,
2018,15,tb,26,0.192,,,,,
2018,15,wsh,25,0.393,,,,,
2018,16,atl,28,0.296,,,,,
2018,16,bal,37,0.52,,,,,
2018,16,buf,11,0.195,,,,,
2018,16,car,37,0.322,,,,,
2018,16,chi,35,0.25,,,,,
2018,16,cin,27,0.136,,,,,
2018,16,clv,28,0.289,,,,,
2018,16,dal,29,0.308,,,,,
2018,16,den,26,0.184,,,,,
2018,16,det,26,0.152,,,,,
2018,16,gb,20,0.153,,,,,
2018,16,ten,39,0.429,,,,,
2018,16,hou,23,0.25,,,,,
2018,16,ind,23,0.208,,,,,
2018,16,jax,30,0.233,,,,,
2018,16,kc,31,0.171,,,,,
2018,16,lar,46,0.423,,,,,
2018,16,lv,25,0.185,,,,,
2018,16,mia,17,0.24,,,,,
2018,16,min,27,0.4,,,,,
2018,16,ne,51,0.269,,,,,
2018,16,no,35,0.071,,,,,
2018,16,nyg,25,0.485,,,,,
2018,16,nyj,33,0.351,,,,,
2018,16,phi,24,0.216,,,,,
